time_sec,left_motor,right_motor,forward,backward,left_turn,right_turn,serial_command
224.6062,0,0,0,0,0,0,L0 R0
226.2224,0,0,0,0,0,0,L0 R0
227.8386,0,0,0,0,0,0,L0 R0
229.4548,0,0,0,0,0,0,L0 R0
231.0709,0,0,0,0,0,0,L0 R0
232.6871,0,0,0,0,0,0,L0 R0
234.3033,0,0,0,0,0,0,L0 R0
235.9195,0,0,0,0,0,0,L0 R0
237.5357,0,0,0,0,0,0,L0 R0
239.1518,0,0,0,0,0,0,L0 R0
240.768,0,0,0,0,0,0,L0 R0
242.3842,0,0,0,0,0,0,L0 R0
244.0004,0,0,0,0,0,0,L0 R0
245.6166,0,0,0,0,0,0,L0 R0
247.2328,0,0,0,0,0,0,L0 R0
248.849,0,0,0,0,0,0,L0 R0
250.4651,0,0,0,0,0,0,L0 R0
252.0813,0,0,0,0,0,0,L0 R0
253.6975,0,0,0,0,0,0,L0 R0
255.3137,0,0,0,0,0,0,L0 R0
256.9299,0,0,0,0,0,0,L0 R0
258.5461,0,0,0,0,0,0,L0 R0
260.1622,0,0,0,0,0,0,L0 R0
261.7784,0,0,0,0,0,0,L0 R0
263.3946,0,0,0,0,0,0,L0 R0
265.0108,0,0,0,0,0,0,L0 R0
266.627,0,0,0,0,0,0,L0 R0
268.2432,0,0,0,0,0,0,L0 R0
269.8594,0,0,0,0,0,0,L0 R0
271.4755,0,0,0,0,0,0,L0 R0
273.0917,0,0,0,0,0,0,L0 R0
274.7079,0,0,0,0,0,0,L0 R0
276.3241,0,0,0,0,0,0,L0 R0
277.9403,0,0,0,0,0,0,L0 R0
279.5565,0,0,0,0,0,0,L0 R0
281.1727,0,0,0,0,0,0,L0 R0
282.7888,0,0,0,0,0,0,L0 R0
284.4051,0,0,0,0,0,0,L0 R0
286.0212,0,0,0,0,0,0,L0 R0
287.6374,0,0,0,0,0,0,L0 R0
289.2536,0,0,0,0,0,0,L0 R0
290.8698,0,0,0,0,0,0,L0 R0
292.486,0,0,0,0,0,0,L0 R0
294.1022,0,0,0,0,0,0,L0 R0
295.7184,0,0,0,0,0,0,L0 R0
297.3345,0,0,0,0,0,0,L0 R0
298.9507,0,0,0,0,0,0,L0 R0
300.567,0,0,0,0,0,0,L0 R0
302.1832,0,0,0,0,0,0,L0 R0
303.7993,0,0,0,0,0,0,L0 R0
305.4155,0,0,0,0,0,0,L0 R0
307.0317,0,0,0,0,0,0,L0 R0
308.6479,0,0,0,0,0,0,L0 R0
310.2641,0,0,0,0,0,0,L0 R0
311.8803,0,0,0,0,0,0,L0 R0
313.4965,0,0,0,0,0,0,L0 R0
315.1127,0,0,0,0,0,0,L0 R0
316.7289,0,0,0,0,0,0,L0 R0
318.3451,0,0,0,0,0,0,L0 R0
319.9613,0,0,0,0,0,0,L0 R0
321.5775,0,0,0,0,0,0,L0 R0
323.1937,0,0,0,0,0,0,L0 R0
324.8099,0,0,0,0,0,0,L0 R0
326.426,0,0,0,0,0,0,L0 R0
328.0422,0,0,0,0,0,0,L0 R0
329.6584,0,0,0,0,0,0,L0 R0
